역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9,congestionCar_10,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft,congestionCar_9_fft,congestionCar_10_fft
230,8.000000,0,530.000000,토요일,32.500000,35.433333,43.833333,34.366667,43.133333,39.366667,36.666667,34.200000,28.033333,46.733333,32.500000,35.433333,43.833333,34.366667,43.133333,39.366667,36.666667,34.200000,28.033333,46.733333
231,8.000000,0,530.000000,토요일,32.810185,32.232407,40.069444,32.765741,40.794444,35.487963,36.194444,30.974074,24.978704,38.411111,32.810185,32.232407,40.069444,32.765741,40.794444,35.487963,36.194444,30.974074,24.978704,38.411111
232,8.000000,0,530.000000,토요일,33.120370,29.031481,36.305556,31.164815,38.455556,31.609259,35.722222,27.748148,21.924074,30.088889,33.120370,29.031481,36.305556,31.164815,38.455556,31.609259,35.722222,27.748148,21.924074,30.088889
233,8.000000,0,530.000000,토요일,33.430556,25.830556,32.541667,29.563889,36.116667,27.730556,35.250000,24.522222,18.869444,21.766667,33.430556,25.830556,32.541667,29.563889,36.116667,27.730556,35.250000,24.522222,18.869444,21.766667
234,8.000000,0,530.000000,토요일,33.740741,22.629630,28.777778,27.962963,33.777778,23.851852,34.777778,21.296296,15.814815,13.444444,33.740741,22.629630,28.777778,27.962963,33.777778,23.851852,34.777778,21.296296,15.814815,13.444444
235,8.000000,0,530.000000,토요일,30.851852,21.740741,27.518519,25.938272,31.024691,22.037037,32.592593,19.358025,14.382716,12.740741,30.851852,21.740741,27.518519,25.938272,31.024691,22.037037,32.592593,19.358025,14.382716,12.740741
236,8.000000,0,530.000000,토요일,27.962963,20.851852,26.259259,23.913580,28.271605,20.222222,30.407407,17.419753,12.950617,12.037037,27.962963,20.851852,26.259259,23.913580,28.271605,20.222222,30.407407,17.419753,12.950617,12.037037
237,8.000000,0,530.000000,토요일,25.074074,19.962963,25.000000,21.888889,25.518519,18.407407,28.222222,15.481481,11.518519,11.333333,25.074074,19.962963,25.000000,21.888889,25.518519,18.407407,28.222222,15.481481,11.518519,11.333333
238,8.000000,0,530.000000,토요일,18.104938,15.850309,19.125000,17.689815,18.623457,14.285494,20.856481,12.348765,9.081790,9.013889,18.104938,15.850309,19.125000,17.689815,18.623457,14.285494,20.856481,12.348765,9.081790,9.013889
239,8.000000,0,530.000000,토요일,11.135802,11.737654,13.250000,13.490741,11.728395,10.163580,13.490741,9.216049,6.645062,6.694444,11.135802,11.737654,13.250000,13.490741,11.728395,10.163580,13.490741,9.216049,6.645062,6.694444
240,8.000000,0,530.000000,토요일,4.166667,7.625000,7.375000,9.291667,4.833333,6.041667,6.125000,6.083333,4.208333,4.375000,4.166667,7.625000,7.375000,9.291667,4.833333,6.041667,6.125000,6.083333,4.208333,4.375000
201,8.000000,0,530.000000,평일,7.750000,8.791667,7.791667,9.500000,7.583333,8.541667,9.166667,8.125000,7.500000,7.430556,7.750000,8.791667,7.791667,9.500000,7.583333,8.541667,9.166667,8.125000,7.500000,7.430556
202,8.000000,0,530.000000,평일,9.038690,11.347718,10.093750,11.656746,8.885913,10.049107,10.041667,9.264385,9.156746,9.910218,9.038690,11.347718,10.093750,11.656746,8.885913,10.049107,10.041667,9.264385,9.156746,9.910218
203,8.000000,0,530.000000,평일,10.327381,13.903770,12.395833,13.813492,10.188492,11.556548,10.916667,10.403770,10.813492,12.389881,10.327381,13.903770,12.395833,13.813492,10.188492,11.556548,10.916667,10.403770,10.813492,12.389881
204,8.000000,0,530.000000,평일,11.616071,16.459821,14.697917,15.970238,11.491071,13.063988,11.791667,11.543155,12.470238,14.869544,11.616071,16.459821,14.697917,15.970238,11.491071,13.063988,11.791667,11.543155,12.470238,14.869544
205,8.000000,0,530.000000,평일,12.904762,19.015873,17.000000,18.126984,12.793651,14.571429,12.666667,12.682540,14.126984,17.349206,12.904762,19.015873,17.000000,18.126984,12.793651,14.571429,12.666667,12.682540,14.126984,17.349206
206,8.000000,0,530.000000,평일,12.989418,17.957672,15.343915,16.248677,11.391534,13.391534,11.973545,13.698413,14.957672,17.433862,12.989418,17.957672,15.343915,16.248677,11.391534,13.391534,11.973545,13.698413,14.957672,17.433862
207,8.000000,0,530.000000,평일,13.074074,16.899471,13.687831,14.370370,9.989418,12.211640,11.280423,14.714286,15.788360,17.518519,13.074074,16.899471,13.687831,14.370370,9.989418,12.211640,11.280423,14.714286,15.788360,17.518519
208,8.000000,0,530.000000,평일,13.158730,15.841270,12.031746,12.492063,8.587302,11.031746,10.587302,15.730159,16.619048,17.603175,13.158730,15.841270,12.031746,12.492063,8.587302,11.031746,10.587302,15.730159,16.619048,17.603175
209,8.000000,0,530.000000,평일,14.379149,18.060245,14.165224,14.470058,11.294012,13.642496,13.198052,17.487013,17.317821,17.970058,14.379149,18.060245,14.165224,14.470058,11.294012,13.642496,13.198052,17.487013,17.317821,17.970058
210,8.000000,0,530.000000,평일,15.599567,20.279221,16.298701,16.448052,14.000722,16.253247,15.808802,19.243867,18.016595,18.336941,15.599567,20.279221,16.298701,16.448052,14.000722,16.253247,15.808802,19.243867,18.016595,18.336941
211,8.000000,0,530.000000,평일,16.819986,22.498196,18.432179,18.426046,16.707431,18.863997,18.419553,21.000722,18.715368,18.703824,16.819986,22.498196,18.432179,18.426046,16.707431,18.863997,18.419553,21.000722,18.715368,18.703824
212,8.000000,0,530.000000,평일,18.040404,24.717172,20.565657,20.404040,19.414141,21.474747,21.030303,22.757576,19.414141,19.070707,18.040404,24.717172,20.565657,20.404040,19.414141,21.474747,21.030303,22.757576,19.414141,19.070707
