역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
724,7.000000,0.000000,530.000000,평일,10.577778,10.362222,14.222222,11.544444,11.951111,9.764444,8.857778,10.908889,243.451852,199.091358,230.587654,233.940741,214.834568,228.266667,184.474074,163.111111
725,7.000000,0.000000,530.000000,평일,9.233333,9.571111,12.333333,11.144444,11.482222,8.680000,7.731111,9.902222,263.634568,213.007407,243.906173,240.479012,216.424691,238.844444,198.291358,174.666667
726,7.000000,0.000000,530.000000,평일,7.888889,8.780000,10.444444,10.744444,11.013333,7.595556,6.604444,8.895556,283.817284,226.923457,257.224691,247.017284,218.014815,249.422222,212.108642,186.222222
727,7.000000,0.000000,530.000000,평일,6.544444,7.988889,8.555556,10.344444,10.544444,6.511111,5.477778,7.888889,304.000000,240.839506,270.543210,253.555556,219.604938,260.000000,225.925926,197.777778
728,7.000000,0.000000,530.000000,평일,9.825926,11.314815,12.325926,13.800000,12.970370,9.659259,8.485185,10.722222,216.485597,174.880658,208.502058,199.950617,174.164609,207.374486,173.325103,151.102881
729,7.000000,0.000000,530.000000,평일,13.107407,14.640741,16.096296,17.255556,15.396296,12.807407,11.492593,13.555556,128.971193,108.921811,146.460905,146.345679,128.724280,154.748971,120.724280,104.427984
730,7.000000,0.000000,530.000000,평일,16.388889,17.966667,19.866667,20.711111,17.822222,15.955556,14.500000,16.388889,41.456790,42.962963,84.419753,92.740741,83.283951,102.123457,68.123457,57.753086
731,7.000000,0.000000,530.000000,평일,20.747222,24.625000,26.277778,25.252778,22.652778,20.702778,18.994444,19.069444,41.494444,49.250000,74.913580,81.672840,72.271605,90.290123,57.228395,51.851852
732,7.000000,0.000000,530.000000,평일,25.105556,31.283333,32.688889,29.794444,27.483333,25.450000,23.488889,21.750000,50.211111,62.566667,65.407407,70.604938,61.259259,78.456790,46.977778,45.950617
733,7.000000,0.000000,530.000000,평일,29.463889,37.941667,39.100000,34.336111,32.313889,30.197222,27.983333,24.430556,58.927778,75.883333,78.200000,68.672222,64.627778,66.623457,55.966667,48.861111
734,7.000000,0.000000,530.000000,평일,33.822222,44.600000,45.511111,38.877778,37.144444,34.944444,32.477778,27.111111,67.644444,89.200000,91.022222,77.755556,74.288889,69.888889,64.955556,54.222222
735,7.000000,0.000000,530.000000,평일,42.252778,59.766667,59.577778,49.577778,48.302778,47.477778,40.127778,33.500000,84.505556,119.533333,119.155556,99.155556,96.605556,94.955556,80.255556,67.000000
736,7.000000,0.000000,530.000000,평일,50.683333,74.933333,73.644444,60.277778,59.461111,60.011111,47.777778,39.888889,101.366667,149.866667,147.288889,120.555556,118.922222,120.022222,95.555556,79.777778
737,7.000000,0.000000,530.000000,평일,59.113889,90.100000,87.711111,70.977778,70.619444,72.544444,55.427778,46.277778,118.227778,180.200000,175.422222,141.955556,141.238889,145.088889,110.855556,92.555556
738,7.000000,0.000000,530.000000,평일,67.544444,105.266667,101.777778,81.677778,81.777778,85.077778,63.077778,52.666667,135.088889,210.533333,203.555556,163.355556,163.555556,170.155556,126.155556,105.333333
739,7.000000,0.000000,530.000000,평일,62.213889,95.286111,92.308333,75.872222,76.113889,78.505556,58.497222,47.722222,124.427778,190.572222,184.616667,151.744444,152.227778,157.011111,116.994444,95.444444
740,7.000000,0.000000,530.000000,평일,56.883333,85.305556,82.838889,70.066667,70.450000,71.933333,53.916667,42.777778,113.766667,170.611111,165.677778,140.133333,140.900000,143.866667,107.833333,85.555556
